Date,Amount,Currency,Description,DebitAccount,CreditAccount,DebitSubAccount,CreditSubAccount,Type,GroupTag,GLinkDrive,ID
2003-10-05,9.09,$,Honda Gas-Bloomington,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,96
2003-10-05,17.00,$,iMAX-Indiana State Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,97
2003-10-05,4.00,$,Pop Corn- Indiana State Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,98
2003-10-05,2.00,$,Parking-Indiana State Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,99
2003-10-05,5.33,$,Lunch-Pizza-Indiana State Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,100
2003-10-05,13.00,$,White River Park Gardens-Entry Fee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,101
2003-10-05,1.50,$,Coffee-White River Park Gardens,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,102
2003-10-05,1.00,$,Mall - Parking,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,103
2003-10-05,9.04,$,Mc Donalds Dinner Danville,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,104
2003-10-05,5.05,$,Mc Donalds Danville Ranga Fly,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,105
2003-10-05,3.22,$,Mc Donalds Danville James,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,106
2003-10-05,15.52,$,Honda Gas - Sterling Avenue-Peoria,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,107
2003-10-05,50.86,$,Schnucks Groceries,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,108
2003-10-05,520.00,$,Gaslight Square House Rent,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,109
2003-10-06,18.18,$,Reliablecom.com - Phone card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,110
2003-10-06,7.00,$,Taj Emporium - Grocery shopping,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,111
2003-10-06,3.23,$,Candy Birthday Greeting,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,112
2003-10-07,0.80,$,Post Office - Cantius Greeting,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,113
2003-10-07,62.33,$,Sprint,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,114
2003-10-07,15.00,$,Illinois Police Association,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,115
2003-10-07,14.20,$,Associates in Dentistry,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,116
2003-10-09,"1,891.53",$,Staff Mgmt - Salary,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Caterpillar Inc,CEFCU Checking A/c [D] - ACH Deposit,,,117
2003-10-10,1.07,$,Bigfoot Coffee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,118
2003-10-10,2.00,$,Taj- kadhal Kondaen dvd,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,119
2003-10-12,5.00,$,Bus Pass,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,120
2003-10-12,11.57,$,Honda Gas + Chips - fall trip,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,121
2003-10-12,12.50,$,Happy Joe's Pizza - Galena,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,122
2003-10-12,10.39,$,Krispy Kreme Donuts,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,123
2003-10-12,49.80,$,Sams Club,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,124
2003-10-12,90.00,$,Near Church,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,125
2003-10-13,41.44,$,Taj Emporium - Weekly grocery,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,126
2003-10-15,36.50,$,Schnucks,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,127
2003-10-15,18.18,$,ReliableCOm Phone Card- Falcon,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,128
2003-10-15,8.00,$,Ranga - Indianapolis Trip,CashAsset,CashPay,Cash,Vendor Cash,Cash Received,,,129
2003-10-21,9.06,$,Dinner Pizza Hut Danville,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,130
2003-10-21,4.60,$,Dinner Pizza Hut Danville Ranga,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,131
2003-10-21,4.60,$,Dinner Pizza Hut Danville Victor,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,132
2003-10-21,1.50,$,Pepsi Pizza Hut,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,133
2003-10-21,22.84,$,Mini Van Fuel Kentucky,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,134
2003-10-21,27.30,$,Hotel Rooms Cave City,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,135
2003-10-21,27.30,$,Hotel Rooms Cave City Ranga,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,Paid for with CEFCU Credit Card,,,136
2003-10-21,2.00,$,Aquafina 2 Bottles at Hotel,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,137
2003-10-21,3.85,$,Breakfast Mammoth Cave,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,138
2003-10-21,0.65,$,Coke Mammoth Cave,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,139
2003-10-21,13.85,$,Lunch Mammoth Cave,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,140
2003-10-21,4.24,$,Dinner McDonalds,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,141
2003-10-21,42.56,$,Hotel Rooms Dayton,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,142
2003-10-21,42.56,$,Hotel Rooms Dayton Ranga,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,Paid for with CEFCU Credit Card,,,143
2003-10-21,2.00,$,Dasani 2 Bottles at Hotel,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,144
2003-10-21,8.00,$,Virtual Reality Show Air Force Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,145
2003-10-21,10.75,$,Lunch Air Force Museum,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,146
2003-10-21,7.86,$,Krispy Kreme Doughnuts,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,147
2003-10-21,25.48,$,Mini Van Fuel - Danville,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,148
2003-10-21,12.29,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,149
2003-10-22,16.28,$,Honda Gas,DigitalPay,CreditCard,Travel Expense,Shell Charge Card,Shell Charge Card,,,150
2003-10-22,41.26,$,Schnucks grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,151
2003-10-22,40.00,$,Schnucks,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,152
2003-10-23,405.89,$,Honda Loan,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,153
2003-10-23,152.41,$,State Farm,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,154
2003-10-24,"1,891.53",$,Staff Mgmt - Salary,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Caterpillar Inc,CEFCU Checking A/c [D] - ACH Deposit,,,155
2003-10-25,18.18,$,Reliable com Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,156
2003-10-25,5.35,$,Pizza Lunch,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,157
2003-10-25,4.00,$,Mahendra - Pizza Lunch,CashPay,CashAsset,Personal Loan,Cash,Lend Cash,,,158
2003-10-25,8.97,$,BlockBuster - Movie,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,159
2003-10-26,75.02,$,Bergners - Sebi Dress,DigitalPay,CreditCard,Other Expense,Bergners Card,Bergner's Card [D],,,160
2003-10-26,60.34,$,Sams Club Grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,161
2003-10-26,90.00,$,Jefferson Peoria,CashAsset,BankAsset,Cash,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Withdraw,,,162
2003-10-26,5.67,$,Panera Bread Coffee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,163
2003-10-26,3.40,$,Walgreens - Cotton+Candy Pops,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,164
2003-10-26,45.29,$,CILCO,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,165
2003-10-26,40.32,$,Shell,DigitalPay,BankAsset,Vendor Bank,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Credit Card Check Payment,,,166
2003-10-26,102.29,$,Bergners,DigitalPay,BankAsset,Vendor Bank,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Credit Card Check Payment,,,167
2003-10-26,19.99,$,Dish Network,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,168
2003-10-27,4.31,$,Mernarda - Halogen Bulb,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,169
2003-10-27,80.00,$,Ranga - Mammoth cave Trip,CashAsset,CashPay,Cash,Vendor Cash,Cash Received,,,170
2003-10-30,23.16,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,171
2003-10-30,24.59,$,Schnucks,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,172
2003-10-31,51.60,$,Sprint PCS,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,173
2003-10-31,15.97,$,Walmart,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,174
2003-10-31,11.49,$,US Postal Service,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,175
2003-11-01,18.18,$,ReliableCom Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,176
2003-11-02,33.87,$,Sams Grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,177
2003-11-02,10.74,$,Nike Cap,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,178
2003-11-02,22.97,$,Applebee Lunch,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,179
2003-11-03,29.11,$,JC Penney,DigitalPay,BankAsset,Vendor Bank,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Credit Card Check Payment,,,180
2003-11-03,520.00,$,Gas Light Square - House Rent,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,181
2003-11-04,19.87,$,Taj Emporium,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,182
2003-11-04,168.39,$,State Farm Insurance,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,183
2003-11-06,33.94,$,Sam's Club,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,184
2003-11-06,13.41,$,CVS Pharmacy,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,185
2003-11-06,30.37,$,Travel Bag - Bergners,DigitalPay,CreditCard,Other Expense,Bergners Card,Bergner's Card [D],,,186
2003-11-06,89.08,$,Comforter & Towel,DigitalPay,CreditCard,Other Expense,Bergners Card,Bergner's Card [D],,,187
2003-11-06,"1,891.53",$,Staff Mgmt - Salary,BankAsset,DigitalPay,CEFCU Checking - Dinesh,Caterpillar Inc,CEFCU Checking A/c [D] - ACH Deposit,,,188
2003-11-08,36.00,$,Olive Garden - Map Adj Project Treat,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,189
2003-11-08,26.28,$,Schnucks - Grocery,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,190
2003-11-09,2.97,$,Panera Bread Coffee,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,191
2003-11-09,77.31,$,SBC - eBill - For OCT & NOV bills,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - ACH Payment,,,192
2003-11-09,24.00,$,Journal Star from 10/12/03 to 12/12/03,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,193
2003-11-09,62.10,$,Insight Communication - Installation + Nov Rent,DigitalPay,BankAsset,Housing Expenses,CEFCU Checking - Dinesh,CEFCU Checking A/c [D] - Check Payment,,,194
2003-11-10,18.18,$,ReliableCom Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,195
2003-11-14,41.08,$,Sam's Club,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,196
2003-11-14,0.65,$,ICC - Chocolate,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,197
2003-11-14,4.31,$,Mernards -Halogen  Bulb T3 300W,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,198
2003-11-14,8.50,$,Post Office - Mail Phone for exchange,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,199
2003-11-15,20.86,$,Kroger,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,200
2003-11-15,31.65,$,Schnucks,DigitalPay,BankAsset,Other Expense,CEFCU Checking - Dinesh,CEFCU Debit Card [D] - Payment,,,201
2003-11-15,14.00,$,Hair Cuttery,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,202
2003-11-16,5.25,$,Car Wash - Self wash - Inside waxing,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,203
2003-11-16,3.34,$,Panera Bread,CashPay,CashAsset,Other Expense,Cash,CASH - $,,,204
2003-11-16,18.18,$,ReliableCom Phone Card,DigitalPay,CreditCard,Other Expense,CEFCU - Dinesh,CEFCU Credit Card [D],,,205
